trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
454,False,"{'a': 0.5, 'e': 0.06507565025190419}",20,15,-12.439809071983616,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
455,False,"{'a': 0.5, 'e': 0.06468519635039277}",20,13,9.69007758104022,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.5, 'e': 0.06429708517229041}",30,14,27.34735402611904,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.5, 'e': 0.06391130266125666}",25,19,11.270382014897994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.5, 'e': 0.06352783484528912}",25,15,15.961201034648456,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.5, 'e': 0.06314666783621739}",20,9,19.927666649115963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.5, 'e': 0.06276778782920009}",20,13,-29.31811344779413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
461,False,"{'a': 0.5, 'e': 0.062391181102224885}",20,15,10.10724765761434,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.5, 'e': 0.06201683401561154}",25,0,-6.039120314867249,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
463,False,"{'a': 0.5, 'e': 0.06164473301151787}",30,21,20.49798174808106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.5, 'e': 0.06127486461344876}",20,7,12.709195690098193,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.5, 'e': 0.06090721542576807}",20,6,-17.758604726555152,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
466,False,"{'a': 0.5, 'e': 0.06054177213321346}",20,10,20.390091944497254,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.5, 'e': 0.06017852150041418}",30,19,18.094313289429596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.5, 'e': 0.059817450371411694}",20,8,5.2275613514145665,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
469,False,"{'a': 0.5, 'e': 0.059458545669183224}",25,14,22.360567700395144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.5, 'e': 0.05910179439516812}",20,3,23.442569987129893,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.5, 'e': 0.05874718362879711}",20,12,14.854789816265077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.5, 'e': 0.05839470052702433}",20,14,11.782959154892474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.5, 'e': 0.058044332323862184}",20,4,22.22201770728251,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.5, 'e': 0.05769606632991901}",20,5,28.506395229935784,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
